color,R,G,B,sens,groesse,abstand,rectPosX,rectPosY
,,,,33,50,140,303,172
2,127,239,121,,,,,
2,108,210,97,,,,,
1,179,182,182,,,,,
1,152,155,154,,,,,
1,132,135,134,,,,,
1,110,112,112,,,,,
4,42,180,204,,,,,
4,45,158,174,,,,,
4,70,194,221,,,,,
6,202,213,81,,,,,
6,177,194,55,,,,,
2,93,184,67,,,,,
3,231,0,0,,,,,
3,243,40,46,,,,,
5,235,84,0,,,,,
5,203,76,0,,,,,
4,103,236,255,,,,,
4,132,247,254,,,,,
3,226,115,113,,,,,
3,194,39,30,,,,,
3,182,18,5,,,,,
3,230,82,70,,,,,
3,190,58,55,,,,,
5,245,119,78,,,,,
5,250,108,25,,,,,
1,199,200,202,,,,,
6,200,222,128,,,,,
6,177,189,91,,,,,
6,153,179,74,,,,,
6,255,255,164,,,,,
6,218,253,133,,,,,
4,21,142,159,,,,,
4,104,191,214,,,,,
5,255,158,103,,,,,
1,246,254,250,,,,,
5,255,148,54,,,,,
4,70,177,191,,,,,
5,255,145,16,,,,,
3,246,31,30,,,,,
2,80,179,98,,,,,
2,59,159,78,,,,,
1,226,234,230,,,,,
4,26,114,125,,,,,
2,48,133,59,,,,,
6,237,225,99,,,,,
4,52,133,147,,,,,
6,251,255,111,,,,,
3,101,0,0,,,,,
2,46,109,22,,,,,
3,145,3,1,,,,,
6,149,149,67,,,,,
4,0,160,178,,,,,
2,140,235,161,,,,,
6,209,252,93,,,,,
3,202,1,13,,,,,
