color,R,G,B,sens,groesse,abstand,rectPosX,rectPosY
,,,,33,50,140,279,111
1,176,217,247,,,,,
6,206,255,93,,,,,
4,0,189,248,,,,,
2,102,254,112,,,,,
5,255,136,82,,,,,
3,205,33,80,,,,,
3,213,55,101,,,,,
1,144,223,255,,,,,
3,162,53,89,,,,,
1,114,203,252,,,,,
6,225,255,108,,,,,
3,245,57,101,,,,,
4,0,146,219,,,,,
2,94,218,93,,,,,
6,187,221,86,,,,,
1,130,145,162,,,,,
5,250,135,93,,,,,
5,225,122,94,,,,,
1,128,171,180,,,,,
1,135,183,211,,,,,
3,152,43,74,,,,,
5,223,107,59,,,,,
4,0,138,182,,,,,
5,255,110,17,,,,,
3,231,14,67,,,,,
1,208,216,236,,,,,
5,255,123,55,,,,,
2,69,192,85,,,,,
1,187,187,187,,,,,
1,129,133,133,,,,,
6,167,196,43,,,,,
2,73,170,65,,,,,
